Area Code,Region Name,Average Low income,Average Income,Average High income,Housing Cost (Monthly Rent),Housing Affordability for Low Income (%),Housing Affordability for Avg Income (%),Housing Affordability for High Income (%)
E07000194,Lichfield,38708.33,45775,54133.33,"1,369",42.44047728,35.88858547,30.34729251
E07000195,Newcastle-under-Lyme,34456.25,40818.75,48337.5,"1,162",40.46871032,34.1607717,28.84716835
E07000196,South Staffordshire,36650,43342.86,51250,"1,136",37.19508868,31.45154704,26.59902439
E07000197,Stafford,39587.5,46818.75,55325,922,27.94821598,23.63155787,19.9981925
E07000198,Staffordshire Moorlands,35300,41838.46,49607.69,597,20.29461756,17.12300118,14.4413094
E07000199,Tamworth,35770,42260,49970,663,22.24210232,18.8263133,15.92155293
E07000200,Babergh,38254.55,45190.91,53354.55,871,27.3222401,23.1285451,19.58970697
E07000201,Forest Heath,38242.86,45314.29,53642.86,614,19.26634148,16.25977148,13.73528555
E07000202,Ipswich,36043.75,42593.75,50318.75,606,20.17548119,17.07292737,14.45186933
E07000203,Mid Suffolk,38975,46058.33,54433.33,778,23.95381655,20.269949,17.15125641
E07000204,St Edmundsbury,39614.29,46828.57,55378.57,777,23.53696103,19.9109219,16.83683779
E07000205,Suffolk Coastal,38426.67,45420,53693.33,619,19.33032449,16.35402906,13.83412055
E07000206,Waveney,30820,36626.67,43506.67,942,36.67748215,30.86275657,25.98222296
E07000207,Elmbridge,63177.78,75294.44,89738.89,549,10.42771683,8.749650041,7.341298739
E07000208,Epsom and Ewell,59244.44,70600,84211.11,643,13.02400698,10.92917847,9.162686491
E07000209,Guildford,54744.44,64994.44,77155.56,624,13.67810137,11.52098549,9.705068565
E07000210,Mole Valley,50123.08,59376.92,70376.92,592,14.17311147,11.96424469,10.09421839
E07000211,Reigate and Banstead,54666.67,64794.44,76816.67,619,13.58780405,11.4639466,9.669776105
E07000212,Runnymede,52820,62800,74670,613,13.92654298,11.7133758,9.851345922
E07000213,Spelthorne,52761.54,62630.77,74369.23,499,11.34917593,9.560795756,8.051717088
E07000214,Surrey Heath,55716.67,65975,78100,544,11.71642167,9.894657067,8.358514725
E07000215,Tandridge,49190.91,58254.55,69009.09,530,12.92921802,10.91760214,9.216177173
E07000216,Waverley,51641.18,61076.47,72270.59,659,15.31336038,12.9477031,10.94221038
E07000217,Woking,58441.67,69516.67,82683.33,861,17.67916625,14.86262216,12.49586827
E07000218,North Warwickshire,37371.43,44085.71,52071.43,595,19.10550386,16.19572419,13.71193378
E07000219,Nuneaton and Bedworth,35517.65,41964.71,49617.65,504,17.02815361,14.4121096,12.1892109
E07000220,Rugby,40816.67,48466.67,57541.67,545,16.02286517,13.49380925,11.36567639
E07000221,Stratford-on-Avon,41566.67,49146.67,58153.33,752,21.70970155,18.36136609,15.51759805
E07000222,Warwick,44226.67,52366.67,62020,724,19.64425538,16.5907055,14.00838439
E07000223,Adur,36825,43712.5,51850,633,20.62729124,17.37718044,14.64995178
E07000224,Arun,38910.53,46294.74,55089.47,639,19.70674776,16.5634368,13.91917548
E07000225,Chichester,41514.29,49185.71,58271.43,924,26.70887543,22.54313295,19.02819272
E07000226,Crawley,49200,58700,70038.46,618,15.07317073,12.63373083,10.58846811
E07000227,Horsham,46718.75,55368.75,65637.5,623,16.00214047,13.50220115,11.38983051
E07000228,Mid Sussex,50188.24,59329.41,70123.53,560,13.38959087,11.32659165,9.583088587
E07000229,Worthing,39830.77,47338.46,56307.69,541,16.29895681,13.7140076,11.52950867
E07000234,Bromsgrove,42021.43,49700,58800,566,16.1631815,13.66599598,11.55102041
E07000235,Malvern Hills,37936.36,44872.73,53081.82,826,26.127968,22.08913966,18.67305982
E07000236,Redditch,37153.85,43930.77,51946.15,584,18.86210985,15.95237233,13.49089394
E07000237,Worcester,37950,44892.86,53114.29,559,17.67588933,14.94224249,12.62936961
E07000238,Wychavon,39378.95,46600,55152.63,"1,227",37.39053479,31.59656652,26.69682298
E07000239,Wyre Forest,33828.57,39964.29,47207.14,"1,448",51.36486703,43.47881571,36.80799133
E07000240,St Albans,28745,35860,46714,"1,204",50.26265437,40.29001673,30.92862953
E07000241,Welwyn Hatfield,23291,30779,49400,"1,467",75.58284316,57.19484064,35.63562753
E07000242,East Hertfordshire,25066,32502,48276,"1,359",65.06024096,50.17537382,33.78076063
E07000243,Stevenage,28496,30328,47430,"1,936",81.52723189,76.60247956,48.98165718
